id	nr_urz	miasto	woj	powiat	gmina	rodzaj_urzedu	urzad	kod	adres	nazwa_bel_1	nazwa_bel_2	odes³anie_do_starostwa	skrot	nazwa_1	nazwa_2	nazwa_ca³a	konto_oplat_geodezyjnych	jaka nazwa
752	1	Jastrzêbie-Zdrój	œl¹skie	Jastrzêbie-Zdrój	Jastrzêbie-Zdrój	8	Urz¹d Miasta	44-335	Al. Józefa Pi³sudskiego 60	Urz¹d Miasta	Jastrzêbie-Zdrój	3000	UMJastrzêbie-Zdrój	Urz¹d Miasta Jastrzêbie-Zdrój 		Urz¹d Miasta Jastrzêbie-Zdrój	a96847000012001001761250002	
758	2	Jaworzno	œl¹skie	Jaworzno	Jaworzno	8	Urz¹d Miasta	43-600	ul. Grunwaldzka 33	Urz¹d Miejski	w Jaworznie	6007	UMJaworznie	Urz¹d Miejski w Jaworznie		Urz¹d Miejski w Jaworznie		
804	3	Kalisz	wielkopolskie	Kalisz	Kalisz	8	Urz¹d Miasta	62-800	G³ówny Rynek 20	Urz¹d Miejski	w Kaliszu	3000	UMKaliszu	Urz¹d Miejski w Kaliszu		Urz¹d Miejski w Kaliszu	a83114019930000550235001002	
838	4	Katowice	œl¹skie	Katowice	Katowice	2	Œl¹ski Urz¹d Wojewódzki	40-032	ul. Jagielloñska 25				Œl¹ski UW	Œl¹ski Urz¹d Wojewódzki		Œl¹ski Urz¹d Wojewódzki		
836	5	Katowice	œl¹skie	Katowice	Katowice	6	Urz¹d Marsza³kowski Województwa Œl¹skiego	40-037	ul. Ligonia 46				UMWŒl¹skiego	Urz¹d Marsza³kowski Województwa Œl¹skiego		Urz¹d Marsza³kowski Województwa Œl¹skiego		
837	6	Katowice	œl¹skie	Katowice	Katowice	8	Urz¹d Miasta	40-098	ul. M³yñska 4	Urz¹d Miasta	Katowice	6004	UMKatowice	Urz¹d Miasta Katowice		Urz¹d Miasta Katowice		
1897	7	Radom	mazowieckie	Radom	Radom	8	Urz¹d Miasta	26-600	ul. Moniuszki 9	Urz¹d Miejski	w Radomiu	6003	UMRadomiu	Urz¹d Miejski w Radomiu		Urz¹d Miejski w Radomiu		
2401	8	Tarnobrzeg	podkarpackie	Tarnobrzeg	Tarnobrzeg	8	Urz¹d Miasta	39-400	ul. Mickiewicza 7	Urz¹d Miasta	Tarnobrzega	3000	UMTarnobrzeg	Urz¹d Miasta Tarnobrzega 		Urz¹d Miasta Tarnobrzega	a18124027441111000039909547	
2410	9	Tarnów	ma³opolskie	Tarnów	Tarnów	8	Urz¹d Miasta	33-100	ul. Nowa 3	Urz¹d Miasta	Tarnowa	3000	UMTarnów	Urz¹d Miasta Tarnowa 		Urz¹d Miasta Tarnowa	a65103019867087302500000000	
2530	10	Warszawa	mazowieckie	Warszawa	Warszawa	2	Mazowiecki Urz¹d Wojewódzki	00-950	Pl. Bankowy 3/5				Mazowiecki UW	Mazowiecki Urz¹d Wojewódzki		Mazowiecki Urz¹d Wojewódzki		
2529	11	Warszawa	mazowieckie	Warszawa	Warszawa	8	Urz¹d Miasta	00-251	Pl. Bankowy 3/5	Urz¹d Miasta	Sto³ecznego Warszawy	6002	UMWarszawa	Urz¹d Miasta Sto³ecznego Warszawy		Urz¹d Miasta Sto³ecznego Warszawy		
2528	12	Warszawa	mazowieckie	Warszawa	Warszawa	6	Urz¹d Marsza³kowski Województwa Mazowieckiego	03-472	ul. Jagielloñska 26				UMWMazowieckiego	Urz¹d Marsza³kowski Województwa Mazowieckiego		Urz¹d Marsza³kowski Województwa Mazowieckiego		
2696	13	Zabrze	œl¹skie	Zabrze	Zabrze	8	Urz¹d Miasta	41-800	ul. Wolnoœci 286	Urz¹d Miejski	w Zabrzu	6005	UMZabrzu	Urz¹d Miejski w Zabrzu		Urz¹d Miejski w Zabrzu		
2721	14	Zamoœæ	lubelskie	Zamoœæ	Zamoœæ	8	Urz¹d Miasta	22-400	ul. Rynek Wielki 13	Urz¹d Miasta	Zamoœæ	6006	UMZamoœæ	Urz¹d Miasta Zamoœæ		Urz¹d Miasta Zamoœæ		
386	15	D¹browa Górnicza	œl¹skie	D¹browa Górnicza	D¹browa Górnicza	8	Urz¹d Miasta	41-300	ul. Graniczna 21	Urz¹d Miejski	w D¹browie Górniczej	3000	UMD¹browie Górniczej	Urz¹d Miejski w D¹browie Górniczej 		Urz¹d Miejski w D¹browie Górniczej	a20156010100000948000001082	
517	16	Gdañsk	pomorskie	Gdañsk	Gdañsk	8	Urz¹d Miasta	80-803	ul. Nowe Ogrody 8/12	Urz¹d Miejski	w Gdañsku	6008	UMGdañska	Urz¹d Miejski w Gdañsku		Urz¹d Miejski w Gdañsku		
518	17	Gdañsk	pomorskie	Gdañsk	Gdañsk	2	Pomorski Urz¹d Wojewódzki	80-958	ul. Okopowa 21/27				Pomorski UW	Pomorski Urz¹d Wojewódzki		Pomorski Urz¹d Wojewódzki		
516	18	Gdañsk	pomorskie	Gdañsk	Gdañsk	6	Urz¹d Marsza³kowski Województwa Pomorskiego	80-810	ul. Okopowa 21/27				UMWPomorskiego	Urz¹d Marsza³kowski Województwa Pomorskiego		Urz¹d Marsza³kowski Województwa Pomorskiego		
520	19	Gdynia	pomorskie	Gdynia	Gdynia	8	Urz¹d Miasta	81-382	Al. Pi³sudskiego 52/54	Urz¹d Miasta	Gdyni	3000	UMGdyni	Urz¹d Miasta Gdyni 		Urz¹d Miasta Gdyni	a94144010260000000000335018	
1279	20	£ódŸ	³ódzkie	£ódŸ	£ódŸ	2	£ódzki Urz¹d Wojewódzki	90-926	ul. Piotrkowska 104				£ódzki UW	£ódzki Urz¹d Wojewódzki		£ódzki Urz¹d Wojewódzki		
1278	21	£ódŸ	³ódzkie	£ódŸ	£ódŸ	8	Urz¹d Miasta	90-004	ul. Piotrkowska 104	Urz¹d Miasta	£odzi	6013	UM£odzi	Urz¹d Miasta £odzi		Urz¹d Miasta £odzi		
1277	22	£ódŸ	³ódzkie	£ódŸ	£ódŸ	6	Urz¹d Marsza³kowski Województwa £ódzkiego	90-051	Al. Pi³sudskiego 8				UMW£ódzkiego	Urz¹d Marsza³kowski Województwa £ódzkiego		Urz¹d Marsza³kowski Województwa £ódzkiego		
769	23	Jelenia Góra	dolnoœl¹skie	Jelenia Góra	Jelenia Góra	8	Urz¹d Miasta	58-500	ul. Ptasia 6A	Urz¹d Miasta	Jelenia Góra	6009	UMJelenia Góra	Urz¹d Miasta Jelenia Góra		Urz¹d Miasta Jelenia Góra		
